,weight,std,w.low,w.high,
stock_SP500.usd,0.080526772,0.019714154,0.077351738,0.083701806,
stock_chstock_CYB,0.019609411,0.047503502,0.01774638,0.021472442,
stock_chstock_SH50,0.02579204,0.036116404,0.023929009,0.027655071,
bond.usd_US10Y.usd,0.067033187,0.009629105,0.065742248,0.068324126,
bond.usd_US2Y.usd,0.691168602,0.000931626,0.689880781,0.692456423,
comm.usd_GSCI.usd,0.057778356,0.024533002,0.054943403,0.060613309,
comm.usd_GOLD.usd,0.058091632,0.024400702,0.055256679,0.060926585,
,,,,,
,,,,,
,,,,,
,1.00,,98.49%,101.51%,1 std
,,,196.97%,203.03%,2 std
